Date,Open,High,Low,Close,Volume,Adj Close
2016-08-09,0.64,0.65,0.63,0.65,513000,0.65
2016-08-08,0.66,0.67,0.63,0.63,1052900,0.63
2016-08-05,0.64,0.67,0.63,0.64,1186900,0.64
2016-08-04,0.63,0.64,0.62,0.64,987400,0.64
2016-08-03,0.59,0.65,0.59,0.62,2317000,0.62
2016-08-02,0.60,0.60,0.59,0.60,142300,0.60
2016-07-29,0.60,0.60,0.59,0.60,171700,0.60
2016-07-28,0.60,0.60,0.58,0.58,122800,0.58
2016-07-27,0.60,0.60,0.58,0.60,346300,0.60
2016-07-26,0.59,0.59,0.58,0.59,159600,0.59
2016-07-25,0.56,0.60,0.56,0.59,266900,0.59
2016-07-22,0.57,0.58,0.55,0.55,564300,0.55
2016-07-21,0.60,0.61,0.56,0.56,1465100,0.56
2016-07-20,0.59,0.60,0.58,0.59,180800,0.59
2016-07-19,0.59,0.60,0.58,0.58,111800,0.58
2016-07-18,0.60,0.60,0.59,0.60,281400,0.60
2016-07-15,0.59,0.60,0.58,0.60,80200,0.60
2016-07-14,0.59,0.60,0.58,0.60,182200,0.60
2016-07-13,0.59,0.60,0.56,0.58,175500,0.58
2016-07-12,0.60,0.61,0.57,0.58,399300,0.58
2016-07-11,0.57,0.60,0.57,0.58,313500,0.58
2016-07-08,0.56,0.57,0.54,0.55,510500,0.55
2016-07-07,0.58,0.64,0.52,0.53,1124800,0.53
2016-07-06,0.54,0.57,0.54,0.56,512200,0.56
2016-07-05,0.52,0.54,0.50,0.54,271300,0.54
2016-07-04,0.51,0.52,0.51,0.51,238100,0.51
2016-06-30,0.49,0.52,0.49,0.50,202000,0.50
2016-06-29,0.49,0.49,0.48,0.49,105900,0.49
2016-06-28,0.49,0.50,0.49,0.49,70400,0.49
2016-06-27,0.48,0.50,0.48,0.48,91200,0.48
2016-06-24,0.48,0.49,0.48,0.48,160100,0.48
2016-06-23,0.48,0.49,0.47,0.49,478900,0.49
2016-06-22,0.48,0.49,0.48,0.48,36000,0.48
2016-06-21,0.48,0.49,0.48,0.48,150000,0.48
2016-06-20,0.49,0.52,0.48,0.48,781900,0.48
2016-06-17,0.47,0.48,0.47,0.48,168300,0.48
2016-06-16,0.47,0.48,0.47,0.48,788900,0.48
2016-06-15,0.44,0.46,0.44,0.46,1239900,0.46
2016-06-14,0.44,0.45,0.44,0.45,235200,0.45
2016-06-13,0.45,0.45,0.44,0.44,122000,0.44
2016-06-10,0.45,0.45,0.44,0.45,79300,0.45
2016-06-09,0.44,0.45,0.44,0.44,260200,0.44
2016-06-08,0.45,0.45,0.44,0.44,321300,0.44
2016-06-07,0.45,0.45,0.44,0.45,178300,0.45
2016-06-06,0.44,0.45,0.44,0.45,99000,0.45
2016-06-03,0.45,0.45,0.44,0.44,198700,0.44
2016-06-02,0.45,0.45,0.44,0.45,129700,0.45
2016-06-01,0.45,0.45,0.44,0.45,316900,0.45
2016-05-31,0.45,0.45,0.45,0.45,42900,0.45
2016-05-30,0.45,0.45,0.44,0.45,42900,0.45
2016-05-27,0.45,0.45,0.45,0.45,58700,0.45
2016-05-26,0.45,0.45,0.44,0.44,273200,0.44
2016-05-25,0.45,0.45,0.44,0.44,124800,0.44
2016-05-24,0.44,0.45,0.44,0.45,70500,0.45
2016-05-20,0.45,0.45,0.44,0.45,62300,0.45
2016-05-19,0.45,0.45,0.44,0.44,96900,0.44
2016-05-18,0.45,0.45,0.44,0.45,171300,0.45
2016-05-17,0.45,0.45,0.44,0.45,129000,0.45
2016-05-16,0.44,0.46,0.44,0.45,82600,0.45
2016-05-13,0.44,0.44,0.43,0.44,380800,0.44
2016-05-12,0.44,0.44,0.44,0.44,112000,0.44
2016-05-11,0.46,0.46,0.43,0.45,239900,0.45
2016-05-10,0.47,0.48,0.46,0.47,69400,0.47
2016-05-09,0.47,0.48,0.47,0.47,142700,0.47
2016-05-06,0.45,0.47,0.44,0.47,125700,0.47
2016-05-05,0.44,0.46,0.43,0.43,81500,0.43
2016-05-04,0.45,0.45,0.43,0.44,235700,0.44
2016-05-03,0.46,0.46,0.45,0.45,116600,0.45
2016-05-02,0.46,0.47,0.46,0.46,250000,0.46
2016-04-29,0.47,0.47,0.45,0.46,92600,0.46
2016-04-28,0.46,0.47,0.46,0.46,89700,0.46
2016-04-27,0.46,0.47,0.46,0.47,103600,0.47
2016-04-26,0.45,0.46,0.45,0.46,19100,0.46
