Date,Open,High,Low,Close,Volume,Adj Close
2016-08-09,58.169998,58.50,58.02,58.200001,16850300,58.200001
2016-08-08,58.060001,58.09,57.779999,58.060001,19291900,58.060001
2016-08-05,57.650002,58.209999,57.450001,57.959999,29335200,57.959999
2016-08-04,56.799999,57.52,56.669998,57.389999,26587700,57.389999
2016-08-03,56.68,57.110001,56.490002,56.970001,22075600,56.970001
2016-08-02,56.849998,56.900002,56.310001,56.580002,35122000,56.580002
2016-08-01,56.599998,56.75,56.139999,56.580002,26003400,56.580002
2016-07-29,56.259998,56.759998,56.049999,56.68,30558700,56.68
2016-07-28,56.00,56.369999,55.720001,56.209999,37550400,56.209999
2016-07-27,56.610001,56.799999,56.110001,56.189999,32327500,56.189999
2016-07-26,56.52,57.290001,56.509998,56.759998,28079000,56.759998
2016-07-25,56.470001,56.740002,56.259998,56.73,25610600,56.73
2016-07-22,56.080002,56.630001,55.779999,56.57,32157200,56.57
2016-07-21,55.98,56.23,55.759998,55.799999,32776700,55.799999
2016-07-20,56.150002,56.84,55.529999,55.91,89893300,55.91
2016-07-19,53.709999,53.900002,52.93,53.09,53336500,53.09
2016-07-18,53.700001,54.34,53.549999,53.959999,31433900,53.959999
2016-07-15,53.950001,54.00,53.209999,53.700001,32024400,53.700001
2016-07-14,53.84,53.990002,53.580002,53.740002,24545500,53.740002
2016-07-13,53.560001,53.860001,53.18,53.509998,25356800,53.509998
2016-07-12,52.939999,53.400002,52.790001,53.209999,27317600,53.209999
2016-07-11,52.50,52.830002,52.470001,52.59,22269200,52.59
2016-07-08,51.73,52.360001,51.549999,52.299999,28391000,52.299999
2016-07-07,51.419998,51.610001,51.07,51.380001,19585200,51.380001
2016-07-06,50.779999,51.540001,50.389999,51.380001,28167500,51.380001
2016-07-05,50.830002,51.279999,50.740002,51.169998,24806400,51.169998
2016-07-01,51.130001,51.720001,51.07,51.16,21400400,51.16
2016-06-30,50.720001,51.299999,50.50,51.169998,28527800,51.169998
2016-06-29,49.91,50.720001,49.799999,50.540001,31304000,50.540001
2016-06-28,48.919998,49.470001,48.669998,49.439999,38140700,49.439999
2016-06-27,49.099998,49.150002,48.040001,48.43,50216300,48.43
2016-06-24,49.810001,50.939999,49.52,49.830002,133503000,49.830002
2016-06-23,51.279999,52.060001,51.150002,51.91,29028800,51.91
2016-06-22,51.080002,51.459999,50.950001,50.990002,28816800,50.990002
2016-06-21,50.200001,51.43,50.16,51.189999,34097800,51.189999
2016-06-20,50.639999,50.830002,50.029999,50.07,35607900,50.07
2016-06-17,50.41,50.43,49.82,50.130001,45710500,50.130001
2016-06-16,49.52,50.470001,49.509998,50.389999,31188600,50.389999
2016-06-15,49.779999,50.119999,49.689999,49.689999,33757600,49.689999
2016-06-14,49.900002,50.099998,49.57,49.830002,42577100,49.830002
2016-06-13,49.580002,50.720001,49.060001,50.139999,83217800,50.139999
2016-06-10,51.049999,52.049999,51.040001,51.48,25833200,51.48
2016-06-09,52.00,52.00,51.490002,51.619999,20305700,51.619999
2016-06-08,52.02,52.439999,51.869999,52.040001,21149400,52.040001
2016-06-07,52.240002,52.73,52.099998,52.099998,20866800,52.099998
2016-06-06,51.990002,52.349998,51.889999,52.130001,18243300,52.130001
2016-06-03,52.380001,52.419998,51.599998,51.790001,23368300,51.790001
2016-06-02,52.639999,52.740002,51.84,52.48,22840800,52.48
2016-06-01,52.439999,52.950001,52.439999,52.849998,25324800,52.849998
2016-05-31,52.259998,53.00,52.080002,53.00,37653100,53.00
2016-05-27,51.919998,52.32,51.77,52.32,17721400,52.32
2016-05-26,51.93,51.98,51.360001,51.889999,24335200,51.889999
2016-05-25,51.919998,52.490002,51.790001,52.119999,24040200,52.119999
2016-05-24,50.700001,51.709999,50.400002,51.59,34757900,51.59
